,time,record,u,v,w,Tsonica,coderr,voltaje
0,2012-01-04 00:29:59.85,36846531.0,-0.68,-0.94,0.06,14.88,0.0,12.0
1,2012-01-04 00:29:59.9,36846532.0,-0.52,-1.07,0.21,14.86,0.0,12.0
2,2012-01-04 00:29:59.95,36846533.0,-0.6,-1.28,0.18,14.86,0.0,12.0
3,2012-01-04 00:30:00,36846534.0,-0.51,-1.4,0.18,14.84,0.0,12.0
4,2012-01-04 00:30:00.05,36846535.0,-0.59,-1.35,0.12,14.88,0.0,12.0
5,2012-01-04 00:30:00.1,36846536.0,-0.45,-1.34,0.1,14.88,0.0,12.0
6,2012-01-04 00:30:00.15,36846537.0,-0.33,-1.41,0.12,14.86,0.0,12.0
7,2012-01-04 00:30:00.2,36846538.0,-0.44,-1.3,0.17,14.88,0.0,12.0
8,2012-01-04 00:30:00.25,36846539.0,-0.4,-1.26,0.12,14.91,0.0,12.0
9,2012-01-04 00:30:00.3,36846540.0,-0.41,-1.22,0.09,14.84,0.0,12.0
10,2012-01-04 00:30:00.35,36846541.0,-0.41,-1.35,0.29,14.86,0.0,12.0
11,2012-01-04 00:30:00.4,36846542.0,-0.24,-1.24,0.44,14.94,0.0,12.0
12,2012-01-04 00:30:00.45,36846543.0,-0.24,-1.18,0.39,14.99,0.0,12.0
13,2012-01-04 00:30:00.5,36846544.0,-0.37,-1.41,0.28,15.05,0.0,12.0
14,2012-01-04 00:30:00.55,36846545.0,-0.34,-1.43,0.17,15.05,0.0,12.0
15,2012-01-04 00:30:00.6,36846546.0,-0.41,-1.36,0.39,14.99,0.0,12.0
16,2012-01-04 00:30:00.65,36846547.0,-0.3,-1.45,0.28,15.05,0.0,12.0
17,2012-01-04 00:30:00.7,36846548.0,-0.46,-1.53,0.44,15.05,0.0,12.0
18,2012-01-04 00:30:00.75,36846549.0,-0.51,-1.41,0.53,15.03,0.0,12.0
19,2012-01-04 00:30:00.8,36846550.0,-0.77,-1.4,0.65,15.05,0.0,12.0
20,2012-01-04 00:30:00.85,36846551.0,-1.0,-1.23,0.66,15.01,0.0,12.0
21,2012-01-04 00:30:00.9,36846552.0,-1.03,-1.1,0.55,14.99,0.0,12.0
22,2012-01-04 00:30:00.95,36846553.0,-1.17,-1.16,0.53,14.99,0.0,12.0
23,2012-01-04 00:30:01,36846554.0,-1.45,-0.97,0.04,14.94,0.0,12.0
24,2012-01-04 00:30:01.05,36846555.0,-1.4,-1.16,-0.2,14.99,0.0,12.0
25,2012-01-04 00:30:01.1,36846556.0,-1.32,-1.04,-0.19,14.94,0.0,12.0
26,2012-01-04 00:30:01.15,36846557.0,-1.16,-0.96,-0.32,14.94,0.0,12.0
27,2012-01-04 00:30:01.2,36846558.0,-1.18,-0.94,-0.39,15.03,0.0,12.0
28,2012-01-04 00:30:01.25,36846559.0,-1.1,-1.04,-0.34,14.96,0.0,12.0
29,2012-01-04 00:30:01.3,36846560.0,-1.14,-0.94,-0.36,14.99,0.0,12.0
30,2012-01-04 00:30:01.35,36846561.0,-1.19,-0.89,-0.45,14.96,0.0,12.0
31,2012-01-04 00:30:01.4,36846562.0,-1.27,-1.1,-0.3,14.91,0.0,12.0
32,2012-01-04 00:30:01.45,36846563.0,-1.12,-1.19,-0.2,14.96,0.0,12.0
33,2012-01-04 00:30:01.5,36846564.0,-1.14,-1.29,-0.13,14.94,0.0,12.0
34,2012-01-04 00:30:01.55,36846565.0,-1.08,-1.2,-0.19,14.94,0.0,12.0
35,2012-01-04 00:30:01.6,36846566.0,-1.15,-1.15,-0.18,14.99,0.0,12.0
36,2012-01-04 00:30:01.65,36846567.0,-1.16,-1.12,-0.21,14.99,0.0,12.0
37,2012-01-04 00:30:01.7,36846568.0,-1.07,-1.07,-0.08,15.01,0.0,12.0
38,2012-01-04 00:30:01.75,36846569.0,-1.07,-1.07,-0.08,15.01,0.0,12.0
39,2012-01-04 00:30:01.8,36846570.0,-1.17,-1.06,-0.15,15.01,0.0,12.0
40,2012-01-04 00:30:01.85,36846571.0,-1.2,-1.11,-0.19,14.94,0.0,12.0
41,2012-01-04 00:30:01.9,36846572.0,-1.12,-1.12,-0.13,14.94,0.0,12.0
42,2012-01-04 00:30:01.95,36846573.0,-0.86,-1.26,-0.08,14.96,0.0,12.0
43,2012-01-04 00:30:02,36846574.0,-0.97,-1.25,-0.06,14.88,0.0,12.0
44,2012-01-04 00:30:02.05,36846575.0,-1.05,-1.12,-0.08,14.94,0.0,12.0
45,2012-01-04 00:30:02.1,36846576.0,-1.05,-1.12,-0.03,14.86,0.0,12.0
