nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
35	1970	2	4	10.2	-999	23.6	0	30.2	72.7	37	17	0	0	7	6.9	3.6	0	13.4	62.5	0	36.6	0	18	13	11.6	55.9	24.2	29.9	0.6	38.1	0.9	6.6	1.2
36	1970	2	5	6.7	8	43.6	26.3	26.9	62.1	24.3	0.6	73.3	23.5	7.2	6.6	2.9	18.3	1.5	6.2	27.7	22.7	0	8.8	22.9	18.6	34.2	3.3	7.2	0	24.7	3.1	9.8	0.8
37	1970	2	6	0	0	0.7	0	2	0	0	0	8.2	6.1	0	0	0	0.3	0	0	7.3	0	0	0	0	26.3	0	0	0	0	0	0	0	0
38	1970	2	7	0	0	0	0	0	0	0	0	0.1	2	0	0	0	0	0	0	2.4	0	0	0	0	7.1	-999	0	0	0	0	0	0	0
39	1970	2	8	0	0	0	1.3	0	0	0	0	0	0	0	0	0	0	0	0	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0
40	1970	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3
41	1970	2	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
42	1970	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.3	0	0.2
43	1970	2	12	14	0	0	0	0	0	0	72.7	0	0	6.3	0	0	0	0	0	0	0	0	0	0	49	0	0	0	3	0	8.8	4.2	0
44	1970	2	13	0	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	10.8	0	0	0	30	0	0	0	0	0	0	0	0
45	1970	2	14	0	0.6	1.4	0	0	-999	0	19.4	0	0	0	0	0	0	0	56.5	0	0	0	0	0	5.3	0	2.8	3.5	0	0	0	0	0
46	1970	2	15	0	0	0	0	0.4	3	0	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0	1.2
47	1970	2	16	1.1	0	0.2	0	3.6	6.5	0	0	0	0	0	0	0	0	0	0	43.3	0.4	0	0	0	0	26.5	0	0	0	0	0	16	0
48	1970	2	17	2.6	4	0	0	0	0	1	0	1.5	0	0	0	0.2	0	0	0	3.5	0	0	30.3	0	2.4	0	0	3	0	0	0	3.5	5.2
49	1970	2	18	0	-999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.5	0	0.8	0	0	0
50	1970	2	19	7.7	7	0	0	0	0	0	0	0	0	4.2	0	0	0	0.3	0	0	0	0	4.6	0	0	0	0	0	16.6	0	5	8	11.6
51	1970	2	20	0	0	0	0.1	0	0	-999	0	0	0	0	4.6	0	0	0	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0
52	1970	2	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53	1970	2	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54	1970	2	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
55	1970	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56	1970	2	25	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57	1970	2	26	0	33.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
