#Data	Da: 2010/01/01	A: 2014/03/12
#Latitudine	Min: 30.0	Max: 46.0
#Longitudine	Min: 5.0	Max: 30.0
#Magnitudo	Min: 4.5	Max: 10.0	Tipo: Mag pref
#Profondità (km)	Min: ND	Max: ND
#Terremoti totali:	 148
#Tempo Origine (UTC);Latitudine;Longitudine;Profondità;Magnitudo;Fonte;
2012-01-28 10:50:55.000;36.03;25.06;5.0;4.7;;
2012-01-27 14:53:12.740;44.523;10.009;72.4;4.9;BULLETIN;
2012-01-27 01:33:23.000;36.04;25.06;5.0;5.4;;
2012-01-26 04:24:59.000;36.07;25.07;14.0;5.3;;
2012-01-25 08:06:37.090;44.871;10.51;29.0;4.9;BULLETIN;
2011-12-18 15:01:01.810;35.976;12.652;32.1;4.5;BULLETIN;
2011-12-12 17:04:42.030;43.286;19.586;10.0;4.8;BULLETIN;
2011-11-10 17:25:39.000;38.42;21.82;5.0;4.6;;
2011-10-04 09:26:29.000;39.2;21.62;5.0;4.5;;
2011-10-04 02:40:46.000;45.58;26.53;150.0;4.8;;
2011-09-27 12:08:19.000;34.22;23.67;10.0;5.3;;
2011-09-15 08:42:21.000;39.79;25.67;6.0;4.6;;
2011-09-14 03:35:28.000;37.2;22.05;1.0;4.9;;
2011-09-13 16:19:27.000;34.24;23.73;10.0;5.0;;
2011-09-10 02:22:16.000;36.87;26.58;9.0;4.5;;
2011-08-20 02:00:24.000;37.96;21.68;15.0;4.6;;
2011-08-07 14:35:35.000;38.4;21.83;5.0;4.7;;
2011-07-19 07:13:17.410;37.366;20.072;10.0;4.8;BULLETIN;
2011-07-17 18:30:27.310;45.01;11.367;2.4;4.5;BULLETIN;
2011-07-11 16:09:14.000;40.14;29.96;24.0;4.7;;
2011-07-07 19:21:48.590;42.026;7.625;45.8;4.7;BULLETIN;
2011-07-02 21:31:38.000;36.49;26.69;10.0;4.8;;
2011-06-23 22:02:46.710;38.064;14.784;7.3;4.5;BULLETIN;
2011-06-18 14:57:20.000;35.23;27.77;30.0;4.7;;
2011-06-14 23:14:25.000;34.75;29.08;45.0;4.5;;
2011-06-01 17:18:59.000;36.35;22.2;50.0;4.5;;
2011-05-28 05:47:19.000;39.12;29.04;26.0;4.7;;
2011-05-25 23:27:50.000;37.94;21.13;1.0;4.8;;
2011-05-19 20:15:22.000;39.15;29.1;7.0;5.8;;
2011-05-19 14:50:51.560;39.065;15.13;297.9;4.6;BULLETIN;
2011-05-08 06:50:24.000;36.7;27.24;11.0;5.1;;
2011-05-01 02:24:15.000;45.6;26.58;150.0;4.7;;
2011-04-28 23:30:44.460;44.738;17.308;10.0;4.5;BULLETIN;
2011-04-19 12:13:19.000;38.12;21.96;55.0;4.5;;
2011-04-15 03:18:33.000;36.6;23.01;40.0;4.5;;
2011-04-01 13:29:11.000;35.54;26.63;60.0;6.0;;
2011-02-23 05:29:29.000;34.45;26.62;47.0;4.7;;
2010-12-18 06:05:46.000;37.38;20.3;40.0;4.9;;
2010-12-17 09:37:48.000;36.95;24.0;104.0;4.9;;
2010-11-13 18:24:59.000;35.08;9.42;10.0;4.6;;
2010-11-03 18:13:02.980;39.983;13.274;505.6;5.4;BULLETIN;
2010-11-03 02:51:27.000;40.43;26.3;10.0;5.3;;
2010-11-03 00:56:54.000;43.74;20.69;2.0;5.3;;
